"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year"
92482,"LUCY","F",2008,"Poodle, Standard",NA,10025,"09/14/2016","09/03/2017",2016
20454,"GRACE","F",2011,"Weimaraner",NA,10019,"05/07/2017","06/03/2020",2018
7318,"UNKNOWN","F",2015,"Shih Tzu Crossbreed",NA,11377,"01/25/2016","01/25/2017",2017
97985,"MOLLY","F",2015,"Cavalier King Charles Spaniel",NA,10011,"09/24/2017","10/17/2018",2017
73022,"LILY","F",2015,"Labradoodle",NA,11215,"05/16/2018","06/03/2019",2018
61177,"CHESTER","M",2015,"Samoyed",NA,10471,"04/21/2017","05/02/2019",2017
109989,"CASSIE","F",2007,"Shih Tzu",NA,10308,"12/14/2016","01/10/2018",2016
81067,"ABBY","F",2010,"Beagle",NA,11414,"07/25/2016","08/24/2017",2016
112181,"OLIVER","M",2016,"Terrier mix",NA,10472,"12/09/2017","12/09/2018",2017
98457,"AMICA","F",2008,"German Shepherd Dog",NA,11378,"09/26/2017","11/17/2018",2017
56739,"EINSTEIN","M",2009,"Shih Tzu",NA,10025,"03/29/2017","04/20/2018",2017
62450,"XANDER","M",2010,"Unknown",NA,10013,"04/27/2017","04/12/2018",2017
84930,"NUNIA","F",2005,"Unknown",NA,10002,"08/04/2017","06/29/2018",2017
